Title_URL,Image,About_Course,Duration,Price,Instructor,Rating,Title,Category
https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/a4/7cd68a658840ddbb95c38cdd0bbc8e/aws-logo-icon-PNG-Transparent-Background.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a technology consultant.,6 months at 4 hours per week,449,Morgan Willis,4.9,AWS Cloud Technology Consultant Professional Certificate,IT
https://www.coursera.org/professional-certificates/ibm-it-project-manager,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/57/2f1c35bd4a4a6d94bde7d622267b9c/Partner-landing-page-Logo-2.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as an IT project manager.,3 months at 10 hours a week,449,John Rofrano,4.8,IBM IT Project Manager Professional Certificate,IT
https://www.coursera.org/professional-certificates/ibm-isc2-cybersecurity-specialist,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a cybersecurity professional.,3 months at 10 hours per week,449,IBM Skills Networks team,4.7,IBM and ISC2 Cybersecurity Specialist Professional Certificate,IT
https://www.coursera.org/professional-certificates/google-cybersecurity,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4a/cb36835ae3421187080898a7ecc11d/Google-G_360x360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a cybersecurity professional.,6 months at 7 hours per week,449,Google Career Certificates,4.8,Google Cybersecurity Professional Certificate,IT
https://www.coursera.org/professional-certificates/meta-ios-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/73/e03b13a8e44df9b19eb279e5506396/360-x-360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as an iOS developer.,8 months at 7 hours per week,449,Meta staff,4.7,Meta iOS Developer Professional Certificate,IT
https://www.coursera.org/professional-certificates/meta-back-end-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/73/e03b13a8e44df9b19eb279e5506396/360-x-360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a back-end developer.,8 months at 6 hours per week,549,Meta staff,4.7,Meta Back-End Developer Professional Certificate,IT
https://www.coursera.org/professional-certificates/meta-database-engineer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/73/e03b13a8e44df9b19eb279e5506396/360-x-360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a database engineer.,6 months at 6 hours per week,449,Meta staff,4.6,Meta Database Engineer Professional Certificate,IT
https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a cybersecurity professional.,8 months at 4 hours per week,449,IBM Skills Networks team,4.6,IBM Cybersecurity Analyst Professional Certificate,IT
https://www.coursera.org/professional-certificates/sap-technology-consultant,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/8d/418ea5848b440bb953728e4b76929d/Square-logo-360X360-px.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a technology consultant.,7 months at 3 hours per week,449,Leslie Reynolds,4.7,SAP Technology Consultant  Professional Certificate,IT
https://www.coursera.org/professional-certificates/ibm-frontend-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a front-end developer.,9 months at 3 hours a week,549,IBM Skills Networks team,4.7,IBM Front-End Developer Professional Certificate,IT
https://www.coursera.org/professional-certificates/meta-front-end-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/73/e03b13a8e44df9b19eb279e5506396/360-x-360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a front-end developer.,7 months at 6 hours per week,449,Meta staff,4.7,Meta Front-End Developer Professional Certificate,IT
https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a full stack developer.,5 months at 10 hours a week,449,IBM Skills Networks team,4.9,IBM Full-Stack JavaScript Developer Professional Certificate,IT
https://www.coursera.org/professional-certificates/backend-javascript-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a back-end developer.,5 months at 10 hours a week,449,IBM Skills Networks team,4.7,IBM Back-end JavaScript Developer Professional Certificate,IT
https://www.coursera.org/professional-certificates/meta-android-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/73/e03b13a8e44df9b19eb279e5506396/360-x-360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as an Android developer.,8 months at 7 hours per week,449,Meta staff,4.7,Meta Android Developer Professional Certificate,IT
https://www.coursera.org/professional-certificates/devops-and-software-engineering,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a software engineer.,9 months at 3 hours per week,449,John Rofrano,4.7,IBM DevOps and Software Engineering Professional Certificate,IT
https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a full stack cloud developer.,9 months at 3 hours per week,449,IBM Skills Networks team,4.5,IBM Full Stack Software Developer Professional Certificate,IT
https://www.coursera.org/professional-certificates/ibm-backend-development,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a back-end developer.,12 months at 10 hours per week,449,John Rofrano,4.6,IBM Back-End Development Professional Certificate,IT
https://www.coursera.org/professional-certificates/ibm-technical-support,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/bb/f5ced2bdd4437aa79f00eb1bf7fbf0/IBM-Logo-Blk---Square.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as an IT support specialist.,7 months at 2 hours per week,449,IBM Skills Networks team,4.8,IBM IT Support  Professional Certificate,IT
https://www.coursera.org/professional-certificates/google-it-support,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4a/cb36835ae3421187080898a7ecc11d/Google-G_360x360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as an IT support specialist.,6 months at 10 hours per week,449,Google Career Certificates,4.8,Google IT Support Professional Certificate,IT
https://www.coursera.org/professional-certificates/google-ux-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/4a/cb36835ae3421187080898a7ecc11d/Google-G_360x360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a UX designer.,6 months at 10 hours per week,449,Google Career Certificates,4.8,Google UX Design Professional Certificate,IT
https://www.coursera.org/professional-certificates/akamai-customer-consulting-and-support,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/http://coursera-university-assets.s3.amazonaws.com/b3/30b26ed9e048cdac777b90285ab5e7/360x360.png?auto=format%2Ccompress&dpr=1,Prepare for an entry-level job as a solutions engineer.,6 months at 8 hours a week,449,Shadow Farell,4.8,Akamai Customer Consulting and Support Professional Certificate,IT
